Index,Frequency (Hz) ,DFT Cal,DFT Mag,Rz (Ohms),R_real,R_img,R_phase
176,1730.77,8.246,95.462,863.820984,131.68,853.7254,-1.4178
175,1771.12,9.487,125.873,753.683167,753.5975,11.3608,-0.0151
174,1812.42,8.944,133.004,672.482727,540.4184,400.2261,-0.6374
173,1854.68,6.708,84.959,789.583008,286.7831,735.6608,-1.1991
172,1897.92,8.062,64.938,1241.523315,958.027,789.6609,-0.6894
171,1942.17,7.071,99.403,711.35199,507.0338,498.9373,-0.7773
170,1987.46,8.246,131.947,624.964111,607.6967,-145.8932,0.2356
169,2033.8,8.062,91.788,878.358337,753.7092,451.0385,-0.5393
168,2081.22,7.28,70.093,1038.638794,457.9686,932.2206,-1.1142
167,2129.75,7.28,55.866,1303.139893,618.3914,1147.0682,-1.0764
166,2179.41,7.28,80.411,905.357422,808.8463,406.7429,-0.4659
165,2230.22,7.28,95.509,762.242004,23.0214,761.8943,-1.5406
164,2282.22,9.22,56.321,1636.978149,1626.7339,182.8499,-0.1119
163,2335.44,8.246,99.005,832.908142,810.0388,193.838,-0.2349
162,2389.89,8.246,86.585,952.38092,840.3361,448.1793,-0.49
161,2445.62,7.616,65.765,1158.032959,723.6993,904.0463,-0.8957
160,2502.64,8.246,90.377,912.423706,896.1801,-171.4006,0.189
159,2560.99,8.544,63.135,1353.295898,208.2286,1337.1802,-1.4163
158,2620.71,8.246,90.094,915.285645,842.6758,357.2748,-0.401
157,2681.81,7.28,94.403,771.17041,471.2748,610.4129,-0.9133
156,2744.34,8.246,52.431,1572.776733,560.2037,1469.6252,-1.2066
155,2808.33,8.246,48.021,1717.215454,1205.5507,1222.8967,-0.7925
154,2873.81,8.544,85.703,996.932007,767.8693,635.8067,-0.6916
153,2940.82,8.544,41.677,2050.036133,2020.7255,-345.4231,0.1693
152,3009.39,8.944,119.775,746.757446,493.5174,560.4349,-0.8488
151,3079.56,7.28,74.525,976.866028,866.0424,451.9266,-0.481
150,3151.36,7.616,71.694,1062.263916,634.2412,852.1401,-0.931
149,3224.84,8.544,55.444,1541.024292,1499.6747,354.5869,-0.2322
148,3300.04,7.616,117.648,647.336792,406.7626,503.5764,-0.8913
147,3376.98,8.544,85.006,1005.1073,936.8945,363.9635,-0.3705
146,3455.72,8.544,86.284,990.213989,599.0596,788.4487,-0.9211
145,3536.3,7.616,111.803,681.175415,663.9999,152,-0.225
144,3618.75,7.616,24.698,3083.536621,-1770.4918,-2524.5903,2.1824
143,3703.13,7.616,79.906,953.089233,346.1237,888.0189,-1.1991
142,3789.47,7.616,75.286,1011.577332,1005.6458,109.386,-0.1083
141,3877.83,7.616,140.431,542.312439,37.0164,541.0477,-1.5025
